mlbam_id,full_name
680911,Owen Miller
669242,Tommy Edman
642239,Rob Zastryzny
676914,Davis Schneider
702332,Caleb Durbin
701552,Andre Granillo
621242,Edwin Díaz
670032,Nicky Lopez
664040,Brandon Lowe
596001,Jakob Junis
593576,Héctor Neris
445926,Jesse Chavez
696100,Hunter Goodman
608337,Lucas Giolito
658668,Edward Olivares
683227,Cody Freeman
641796,Tim Locastro
695670,Harry Ford
665871,Javier Assad
694192,Jackson Chourio
672569,Gustavo Campero
680694,Kyle Bradish
665828,Oswaldo Cabrera
670183,Garrett Acton
677951,Bobby Witt
605513,Spencer Turnbull
608385,Jesse Winker
694680,Trevor Martin
621550,Patrick Wisdom
668952,Ryan Kreidler
676979,Garrett Crochet
687931,Carson Whisenhunt
669093,Jeremiah Estrada
663362,Matt Waldron
692225,Kristian Campbell
593958,Eduardo Rodríguez
621051,Steven Wilson
592351,Jon Gray
695034,Kade Morris
668939,Adley Rutschman
572204,Trayce Thompson
605280,Clay Holmes
700932,Kyle Manzardo
592450,Aaron Judge
607732,Jacob Stallings
656271,Brock Burke
641386,Ben Bowden
663457,Lars Nootbaar
680723,Drew Rom
518934,Dj Lemahieu
695445,Chase Lee
656577,Alex Jackson
666619,Gregory Santos
671655,George Valera
694671,Wyatt Langford
593871,Jorge Polanco
680735,Austin Cox
691548,Rolddy Muñoz
672386,Alejandro Kirk
608701,Rob Refsnyder
701305,Zach Dezenzo
675650,Michael Mercado
682995,Hunter Barco
808963,Roki Sasaki
670224,Kameron Misner
656413,Stuart Fairchild
669467,Andre Pallante
680604,Blas Castano
689266,Dylan Dodd
676059,Jordan Westburg
696519,Samy Natera
596295,Austin Gomber
664954,Brett Sullivan
701162,Ben Malgeri
642136,Matt Thaiss
669302,Logan Gilbert
657656,Ramón Laureano
669194,Ryne Nelson
692285,Luis Guerrero
663765,Jake Woodford
680802,Ryan Weiss
666277,George Soriano
668674,Lucas Erceg
687066,Eric Yang
683627,Anthony Molina
620454,José Castillo
805249,Otto Kemp
607259,Nick Martínez
477132,Clayton Kershaw
612434,Miguel Castro
668715,Spencer Steer
670036,Matt Festa
621035,Chris Taylor
679922,Carlos Duran
571510,Matt Boyd
695734,Daylen Lile
807743,Sean Sullivan
685301,Matt Gorski
694025,Felix Reyes
671109,Jake Eder
625643,Reynaldo López
686676,Korey Lee
694360,Beck Way
681715,Heriberto Hernandez
656529,Sam Hentges
666198,Carter Kieboom
702284,Cole Young
657088,Forrest Wall
673513,Yuki Matsui
671056,Iván Herrera
621139,Brooks Kriske
680716,Jonathan Ornelas
650911,Cristopher Sánchez
605353,Vimael Machín
663878,Nate Pearson
656730,Trevor Megill
624414,Christian Arroyo
688760,Blaine Crim
657265,Peter Strzelecki
666310,Bo Naylor
686681,Michael Massey
676572,Eric Wagaman
666185,Dylan Carlson
702616,Jackson Holliday
666703,Eguy Rosario
686531,Andre Lipcius
666969,Adolis García
665833,Oneil Cruz
679631,Terrin Vavra
681911,Alex Vesia
650333,Luis Arráez
680951,Doug Nikhazy
516782,Starling Marte
676961,Caleb Boushley
686642,Fraser Ellard
605507,Zach Thompson
687589,Dom Hamel
682769,Eiberson Castellano
656288,Griffin Canning
663538,Nico Hoerner
663795,Justin Hagenman
693313,Carson Seymour
672021,Eric Cerantola
681035,Christian Scott
808982,Jung Hoo Lee
663993,Nathaniel Lowe
689981,River Ryan
620443,Luis Torrens
681751,Lazaro Estrada
694388,Joey Loperfido
805672,Collin Price
624585,Jorge Soler
605288,Adrian Houser
683175,Connor Phillips
694876,Cooper Ingle
687401,Joey Ortiz
691172,Yosver Zulueta
621363,Colin Poche
680737,Michael Helman
542303,Marcell Ozuna
668941,Jojo Romero
668901,Mark Vientos
621074,Michael Rucker
643376,Danny Jansen
493603,Adam Ottavino
672012,Tyler Black
667297,Tommy Nance
622250,Josh Sborz
606996,Kyle Hart
519326,Hunter Strickland
609280,Miguel Andújar
701350,Roman Anthony
668853,Austin Shenton
677944,Slade Cecconi
808959,Munetaka Murakami
607625,Seth Lugo
829272,Shinnosuke Ogasawara
691783,Jordan Lawlar
608841,Joey Meneses
676105,Jeff Criswell
605170,Víctor Caratini
686527,Dominic Canzone
681867,Cooper Criswell
547179,Michael Lorenzen
823550,Sung Mun Song
664770,Nathan Lukes
575929,Willson Contreras
695243,Mason Miller
471911,Carlos Carrasco
680767,Victor Vodnik
693409,César Prieto
695020,Tanner Murray
665152,Dean Kremer
676632,Bligh Madris
677942,Blaze Alexander
621237,José Alvarado
681217,Chase Silseth
621345,A. J. Minter
641154,Pablo López
657097,Jacob Webb
592178,Kris Bryant
621097,Jacob Waguespack
547184,Michael Kelly
641793,Zack Littell
666801,Rodolfo Castro
672016,Denzel Clarke
543309,Kyle Higashioka
663465,Kolby Allard
820862,José Fermin
670950,Trevor Richards
669373,Tarik Skubal
543101,Anthony Desclafani
592094,Jason Adam
686217,Sal Frelick
680718,Addison Barger
686753,Drey Jameson
680701,John Rooney
641511,Jason Delay
642585,Félix Bautista
670871,Guillo Zuñiga
675911,Spencer Strider
605177,Andrew Chafin
680700,Richie Palacios
691728,Zac Veen
547001,Cody Poteet
694377,Nick Yorke
687985,Josh White
691008,Max Rajcic
666160,Mickey Moniak
645277,Ozzie Albies
666152,David Hamilton
623205,Andrew Velazquez
670869,Livan Soto
691016,Tyler Soderstrom
650556,Bryan Abreu
630105,Jake Cronenworth
579328,Yusei Kikuchi
624522,Keegan Thompson
434378,Justin Verlander
660896,Jorge Alcalá
656638,Alex Lange
685112,Zach Mccambley
703607,Henry Bolte
678368,Valente Bellozo
686610,Ken Waldichuk
681190,Randy Vásquez
693304,Nick Gonzales
676467,Colton Gordon
623465,Evan Phillips
623993,Anthony Santander
805999,A. J. Ewing
702674,Caden Dana
676113,Zach Deloach
677595,Ronny Mauricio
702281,Robby Snelling
642350,José Siri
679775,Kyle Backhus
592848,Zack Weiss
676775,Keaton Winn
701678,Hao-Yu Lee
670764,Taylor Walls
664285,Framber Valdez
682818,Yohendrick Pinango
642137,Cody Thomas
682254,Mason Montgomery
671976,Tristan Peters
554431,Tyler Matzek
805673,Zebby Matthews
656775,Cedric Mullins
690993,Colt Keith
676395,Robert Garcia
605182,Mike Clevinger
695508,Cameron Cauley
671131,Jackson Rutledge
687221,Dalton Rushing
663738,Daniel Lynch
543518,Scott Mcgough
695534,Chase Petty
694376,Shay Whitcomb
607680,Kevin Pillar
660271,Shohei Ohtani
669127,Shea Langeliers
676130,José Buttó
807727,Charles Mcadoo
592254,José De León
489119,Wade Miley
664849,Danny Young
691620,Jeferson Quero
672578,Carlos Hernández
621112,Paul Blackburn
672279,Michael Siani
570560,Yolmer Sánchez
801216,Christian Montes De Oca
808975,Hyeseong Kim
689690,Alek Jacob
606115,Orlando Arcia
694249,Cole Carrigg
683002,Gunnar Henderson
801434,Paul Gervase
641555,J. C. Escarra
657757,Gavin Sheets
678577,Junior Perez
693855,Ian Seymour
571875,Jake Lamb
679822,Justin Foscue
573204,Caleb Thielbar
641778,Eric Lauer
518595,Travis D'Arnaud
669298,Tj Shook
656941,Kyle Schwarber
641941,Emilio Pagán
669330,Tyler Wells
693433,Bryan Woo
682990,Quinn Priester
666215,Forrest Whitley
690990,Cade Horton
686730,Carson Spiers
676272,Bobby Miller
677941,Jordyn Adams
685005,Christian Roa
702176,Alan Roden
696522,Hayden Juenger
675915,David Bañuelos
518692,Freddie Freeman
543766,Bryan Shaw
691026,Masyn Winn
650907,René Pinto
678692,Ronny Henriquez
641962,Cd Pelham
678316,Omar Cruz
692024,Alex Carrillo
624513,Dom Nuñez
684007,Shota Imanaga
672442,Yovanny Cruz
665804,Miguel Amaya
687859,Troy Johnston
643217,Andrew Benintendi
641682,Ryan Hendrix
669234,Justyn-Henry Malloy
641871,Keynan Middleton
696131,Mason Black
683011,Anthony Volpe
607455,Anthony Banda
689041,Rhylan Thomas
694973,Paul Skenes
671111,Sammy Peralta
664062,Tony Gonsolin
663623,Jake Irvin
668723,Ryan Vilade
666168,Mason Thompson
668752,Duke Ellis
689441,Coleman Crow
